"filename", "language", "JSON", "Dotenv", "JavaScript", "JavaScript JSX", "PostCSS", "Markdown", "MS SQL", "HTML", "YAML", "comment", "blank", "total"
"d:\Studing\S7_EXE101\Project\EARTHORIA PROJECT\earthoria\client\src\assets\css\admin.css", "PostCSS", 0, 0, 0, 0, 1145, 0, 0, 0, 0, 47, 185, 1377
"d:\Studing\S7_EXE101\Project\EARTHORIA PROJECT\earthoria\client\src\assets\css\contactpage.css", "PostCSS", 0, 0, 0, 0, 848, 0, 0, 0, 0, 45, 40, 933
"d:\Studing\S7_EXE101\Project\EARTHORIA PROJECT\earthoria\client\src\assets\css\main.css", "PostCSS", 0, 0, 0, 0, 8073, 0, 0, 0, 0, 193, 238, 8504
"d:\Studing\S7_EXE101\Project\EARTHORIA PROJECT\earthoria\client\src\assets\css\navbar.css", "PostCSS", 0, 0, 0, 0, 296, 0, 0, 0, 0, 34, 37, 367
"d:\Studing\S7_EXE101\Project\EARTHORIA PROJECT\earthoria\client\src\assets\js\eira-chatbox.js", "JavaScript", 0, 0, 569, 0, 0, 0, 0, 0, 0, 23, 30, 622
"d:\Studing\S7_EXE101\Project\EARTHORIA PROJECT\earthoria\client\src\assets\js\main.js", "JavaScript", 0, 0, 204, 0, 0, 0, 0, 0, 0, 18, 21, 243
"d:\Studing\S7_EXE101\Project\EARTHORIA PROJECT\earthoria\client\src\components\CustomCursor.jsx", "JavaScript JSX", 0, 0, 0, 290, 0, 0, 0, 0, 0, 19, 35, 344
"d:\Studing\S7_EXE101\Project\EARTHORIA PROJECT\earthoria\client\src\components\Earthoriasecurity.jsx", "JavaScript JSX", 0, 0, 0, 601, 0, 0, 0, 0, 0, 37, 49, 687
"d:\Studing\S7_EXE101\Project\EARTHORIA PROJECT\earthoria\client\src\components\EiraChatbox.jsx", "JavaScript JSX", 0, 0, 0, 465, 0, 0, 0, 0, 0, 24, 46, 535
"d:\Studing\S7_EXE101\Project\EARTHORIA PROJECT\earthoria\client\src\components\HeroBanner.jsx", "JavaScript JSX", 0, 0, 0, 538, 0, 0, 0, 0, 0, 11, 21, 570
"d:\Studing\S7_EXE101\Project\EARTHORIA PROJECT\earthoria\client\src\components\ScrollToTop.jsx", "JavaScript JSX", 0, 0, 0, 38, 0, 0, 0, 0, 0, 2, 4, 44
"d:\Studing\S7_EXE101\Project\EARTHORIA PROJECT\earthoria\client\src\components\layout\Footer.jsx", "JavaScript JSX", 0, 0, 0, 509, 0, 0, 0, 0, 0, 11, 15, 535
"d:\Studing\S7_EXE101\Project\EARTHORIA PROJECT\earthoria\client\src\components\layout\Layout.jsx", "JavaScript JSX", 0, 0, 0, 17, 0, 0, 0, 0, 0, 0, 2, 19
"d:\Studing\S7_EXE101\Project\EARTHORIA PROJECT\earthoria\client\src\components\layout\Navbar.jsx", "JavaScript JSX", 0, 0, 0, 319, 0, 0, 0, 0, 0, 17, 26, 362
"d:\Studing\S7_EXE101\Project\EARTHORIA PROJECT\earthoria\client\src\components\layout\SearchOverlay.jsx", "JavaScript JSX", 0, 0, 0, 602, 0, 0, 0, 0, 0, 47, 42, 691
"d:\Studing\S7_EXE101\Project\EARTHORIA PROJECT\earthoria\client\src\components\skeletons\SkeletonCart.jsx", "JavaScript JSX", 0, 0, 0, 39, 0, 0, 0, 0, 0, 6, 5, 50
"d:\Studing\S7_EXE101\Project\EARTHORIA PROJECT\earthoria\client\src\components\skeletons\SkeletonShop.jsx", "JavaScript JSX", 0, 0, 0, 28, 0, 0, 0, 0, 0, 3, 2, 33
"d:\Studing\S7_EXE101\Project\EARTHORIA PROJECT\earthoria\client\src\hooks\useFacebookPosts.js", "JavaScript", 0, 0, 22, 0, 0, 0, 0, 0, 0, 7, 6, 35
"d:\Studing\S7_EXE101\Project\EARTHORIA PROJECT\earthoria\client\src\hooks\useScrollProgress.js", "JavaScript", 0, 0, 15, 0, 0, 0, 0, 0, 0, 0, 2, 17
"d:\Studing\S7_EXE101\Project\EARTHORIA PROJECT\earthoria\client\src\hooks\useTheme.js", "JavaScript", 0, 0, 12, 0, 0, 0, 0, 0, 0, 0, 4, 16
